ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,duration
11567D7191156C2C,electric_bike,2023-07-04 15:49:29,2023-07-05 16:49:09,Hoboken Terminal - Hudson St & Hudson Pl,HB101,,,40.73593758446329,-74.03030455112457,,,member,1499.6666666666665
872D97124E2F121F,classic_bike,2023-07-18 08:09:33,2023-07-19 09:09:24,Madison St & 1 St,HB402,,,40.73879,-74.0393,,,member,1499.85
BE411A2E73C57132,classic_bike,2023-07-30 11:43:23,2023-07-31 12:43:08,Jersey & 3rd,JC074,,,40.72333158646436,-74.04595255851744,,,member,1499.75
AD6876AD9C9B880C,classic_bike,2023-07-01 16:33:50,2023-07-02 17:33:42,Jackson Square,JC063,,,40.71113,-74.0789,,,casual,1499.8666666666666
31A7688F36AB2FB1,docked_bike,2023-07-14 19:20:08,2023-07-15 20:20:10,City Hall - Washington St & 1 St,HB105,,,40.73736,-74.03097,,,casual,1500.0333333333335
67518B61F98D589C,classic_bike,2023-07-20 15:58:16,2023-07-21 16:57:55,Adams St & 2 St,HB407,,,40.73981372311843,-74.03690412640572,,,casual,1499.6499999999999
4619FDC50B1F333C,classic_bike,2023-07-13 10:43:14,2023-07-14 11:43:10,Madison St & 1 St,HB402,,,40.73879,-74.0393,,,member,1499.9333333333334
1E63085859E853CB,classic_bike,2023-07-26 08:46:39,2023-07-27 09:46:35,Marshall St & 2 St,HB408,,,40.740802,-74.042521,,,member,1499.9333333333334
9D7321DBD7CD9647,electric_bike,2023-07-26 07:47:27,2023-07-27 08:47:16,Liberty Light Rail,JC052,,,40.7112423,-74.0557013,,,member,1499.8166666666666
7B7380C2893475D7,electric_bike,2023-07-30 03:11:06,2023-07-31 04:11:01,JC Medical Center,JC110,,,40.71539114317,-74.04969155788422,,,casual,1499.9166666666665
A401226F5B37D22A,classic_bike,2023-07-30 13:49:46,2023-07-31 14:49:33,Church Sq Park - 5 St & Park Ave,HB601,,,40.74265933273143,-74.03223305940628,,,casual,1499.7833333333333
7C6EEBA2C953B4C1,classic_bike,2023-07-30 23:04:34,2023-08-01 00:04:22,Warren St,JC006,,,40.7211236,-74.03805095,,,member,1499.8
EDE54ADC1A380CF7,classic_bike,2023-07-30 12:48:13,2023-07-31 13:48:05,Warren St,JC006,,,40.7211236,-74.03805095,,,casual,1499.8666666666666
C6D39CFB2316E380,classic_bike,2023-07-30 10:06:41,2023-07-31 11:06:36,Warren St,JC006,,,40.7211236,-74.03805095,,,casual,1499.9166666666665
BD900F9B9E33AC22,electric_bike,2023-07-23 13:28:49,2023-07-24 14:28:39,Warren St,JC006,,,40.7211236,-74.03805095,,,member,1499.8333333333335
F5805A4838C774FB,classic_bike,2023-07-14 19:53:20,2023-07-15 20:53:11,York St & Marin Blvd,JC097,,,40.716615000830494,-74.0424120426178,,,member,1499.85
